chunk_size,top_k,precision,recall
10,1,0.260293515266736,0.06802762825840954
10,5,0.14223225609051385,0.16651347356376828
10,10,0.10143077294121046,0.2277446496199681
50,1,0.23671178716349076,0.27226294288096253
50,5,0.09623296569222088,0.4889191154144126
50,10,0.0606233950258437,0.5724511402151055
200,1,0.09082407293230357,0.37269582706321297
200,5,0.03370072254706095,0.6450963097257344
200,10,0.019690850270840974,0.7409221045501316
300,1,0.060923532811247134,0.3570030151134035
300,5,0.023093937921763247,0.6573083659975103
300,10,0.013409051033171977,0.7585982843170361
400,1,0.0515085159694011,0.40733027813796047
400,5,0.017454241550235405,0.6611055161363406
400,10,0.010234568971214416,0.7652905788833549
