chunk_size,top_k,precision,recall
10,5,0.14223225609051385,0.16651347356376828
10,10,0.10143077294121046,0.2277446496199681
10,20,0.07244707850442468,0.30563643437187
64,5,0.08126586793883799,0.5255215387919047
64,10,0.05066741263217173,0.6112914893792685
64,20,0.030302368087121626,0.7253650702755217
200,5,0.03370072254706095,0.6450963097257344
200,10,0.019690850270840974,0.7409221045501316
200,20,0.011000513517919676,0.8025235607300519
400,5,0.017454241550235405,0.6611055161363406
400,10,0.010234568971214416,0.7652905788833549
400,20,0.005369957870928985,0.7901915948178287
